Sample,Genotype #,Genotype,Genotype_short,Round,Stage of Maturation,DAP,DAP_dtw,Bio Rep
Col-0_12d_round_2_rep1,1,Col-0 (round 2),Col-0,2,12d,12,14,rep1
Col-0_12d_round_2_rep2,1,Col-0 (round 2),Col-0,2,12d,12,14,rep2
Col-0_12d_round_2_rep3,1,Col-0 (round 2),Col-0,2,12d,12,14,rep3
Col-0_14d_round_2_rep1,1,Col-0 (round 2),Col-0,2,14d,14,16,rep1
Col-0_14d_round_2_rep2,1,Col-0 (round 2),Col-0,2,14d,14,16,rep2
Col-0_14d_round_2_rep3,1,Col-0 (round 2),Col-0,2,14d,14,16,rep3
Col-0_16d_round_2_rep1,1,Col-0 (round 2),Col-0,2,16d,16,18,rep1
Col-0_16d_round_2_rep2,1,Col-0 (round 2),Col-0,2,16d,16,18,rep2
Col-0_16d_round_2_rep3,1,Col-0 (round 2),Col-0,2,16d,16,18,rep3
Col-0_18d_round_2_rep1,1,Col-0 (round 2),Col-0,2,18d,18,20,rep1
Col-0_18d_round_2_rep2,1,Col-0 (round 2),Col-0,2,18d,18,20,rep2
Col-0_18d_round_2_rep3,1,Col-0 (round 2),Col-0,2,18d,18,20,rep3
Col-0_20d_round_2_rep1,1,Col-0 (round 2),Col-0,2,20d,20,22,rep1
Col-0_20d_round_2_rep2,1,Col-0 (round 2),Col-0,2,20d,20,22,rep2
Col-0_20d_round_2_rep3,1,Col-0 (round 2),Col-0,2,20d,20,22,rep3
Col-0_22d_round_2_rep1,1,Col-0 (round 2),Col-0,2,22d,22,24,rep1
Col-0_22d_round_2_rep2,1,Col-0 (round 2),Col-0,2,22d,22,24,rep2
Col-0_22d_round_2_rep3,1,Col-0 (round 2),Col-0,2,22d,22,24,rep3
Col-0_24d_round_2_rep1,1,Col-0 (round 2),Col-0,2,24d,24,24,rep1
Col-0_24d_round_2_rep2,1,Col-0 (round 2),Col-0,2,24d,24,24,rep2
Col-0_DS_round_2_rep1,1,Col-0 (round 2),Col-0,2,DS,26,26,rep1
Col-0_DS_round_2_rep2,1,Col-0 (round 2),Col-0,2,DS,26,26,rep2
Col-0_DS_round_2_rep3,1,Col-0 (round 2),Col-0,2,DS,26,26,rep3
Col-0_18d_round_3_rep1,1,Col-0 (round 3),Col-0,3,18d,18,18,rep1
Col-0_18d_round_3_rep2,1,Col-0 (round 3),Col-0,3,18d,18,18,rep2
Col-0_18d_round_3_rep3,1,Col-0 (round 3),Col-0,3,18d,18,18,rep3
Col-0_20d_round_3_rep1,1,Col-0 (round 3),Col-0,3,20d,20,20,rep1
Col-0_20d_round_3_rep2,1,Col-0 (round 3),Col-0,3,20d,20,20,rep2
Col-0_20d_round_3_rep3,1,Col-0 (round 3),Col-0,3,20d,20,20,rep3
Col-0_22d_round_3_rep1,1,Col-0 (round 3),Col-0,3,22d,22,22,rep1
Col-0_22d_round_3_rep2,1,Col-0 (round 3),Col-0,3,22d,22,22,rep2
Col-0_22d_round_3_rep3,1,Col-0 (round 3),Col-0,3,22d,22,22,rep3
Col-0_24d_round_3_rep1,1,Col-0 (round 3),Col-0,3,24d,24,24,rep1
Col-0_24d_round_3_rep2,1,Col-0 (round 3),Col-0,3,24d,24,24,rep2
Col-0_24d_round_3_rep3,1,Col-0 (round 3),Col-0,3,24d,24,24,rep3
Col-0_DS_round_3_rep1,1,Col-0 (round 3),Col-0,3,DS,26,26,rep1
Col-0_DS_round_3_rep2,1,Col-0 (round 3),Col-0,3,DS,26,26,rep2
Col-0_DS_round_3_rep3,1,Col-0 (round 3),Col-0,3,DS,26,26,rep3
abi3-6_16d_round_2_rep1,2,abi3-6 (round 2 & 3),abi3-6,2,16d,16,18,rep1
abi3-6_16d_round_2_rep2,2,abi3-6 (round 2 & 3),abi3-6,2,16d,16,18,rep2
abi3-6_18d_round_2_rep1,2,abi3-6 (round 2 & 3),abi3-6,2,18d,18,20,rep1
abi3-6_18d_round_2_rep2,2,abi3-6 (round 2 & 3),abi3-6,2,18d,18,20,rep2
abi3-6_20d_round_2_rep1,2,abi3-6 (round 2 & 3),abi3-6,2,20d,20,22,rep1
abi3-6_20d_round_2_rep2,2,abi3-6 (round 2 & 3),abi3-6,2,20d,20,22,rep2
abi3-6_22d_round_2_rep1,2,abi3-6 (round 2 & 3),abi3-6,2,22d,22,24,rep1
abi3-6_22d_round_2_rep2,2,abi3-6 (round 2 & 3),abi3-6,2,22d,22,24,rep2
abi3-6_24d_round_3_rep1,2,abi3-6 (round 2 & 3),abi3-6,3,24d,24,24,rep1
abi3-6_24d_round_3_rep2,2,abi3-6 (round 2 & 3),abi3-6,3,24d,24,24,rep2
abi3-6_24d_round_3_rep3,2,abi3-6 (round 2 & 3),abi3-6,3,24d,24,24,rep3
abi3-6_DS_round_3_rep1,2,abi3-6 (round 2 & 3),abi3-6,3,DS,26,26,rep1
abi3-6_DS_round_3_rep2,2,abi3-6 (round 2 & 3),abi3-6,3,DS,26,26,rep2
abi3-6_DS_round_3_rep3,2,abi3-6 (round 2 & 3),abi3-6,3,DS,26,26,rep3
abi3-12_18d_round_3_rep1,3,abi3-12 (round 3),abi3-12,3,18d,18,18,rep1
abi3-12_18d_round_3_rep2,3,abi3-12 (round 3),abi3-12,3,18d,18,18,rep2
abi3-12_20d_round_3_rep1,3,abi3-12 (round 3),abi3-12,3,20d,20,20,rep1
abi3-12_20d_round_3_rep2,3,abi3-12 (round 3),abi3-12,3,20d,20,20,rep2
abi3-12_20d_round_3_rep3,3,abi3-12 (round 3),abi3-12,3,20d,20,20,rep3
abi3-12_22d_round_3_rep1,3,abi3-12 (round 3),abi3-12,3,22d,22,22,rep1
abi3-12_22d_round_3_rep2,3,abi3-12 (round 3),abi3-12,3,22d,22,22,rep2
abi3-12_22d_round_3_rep3,3,abi3-12 (round 3),abi3-12,3,22d,22,22,rep3
abi3-12_24d_round_3_rep1,3,abi3-12 (round 3),abi3-12,3,24d,24,24,rep1
abi3-12_24d_round_3_rep2,3,abi3-12 (round 3),abi3-12,3,24d,24,24,rep2
abi3-12_24d_round_3_rep3,3,abi3-12 (round 3),abi3-12,3,24d,24,24,rep3
abi3-12_DS_round_3_rep1,3,abi3-12 (round 3),abi3-12,3,DS,26,26,rep1
abi3-12_DS_round_3_rep2,3,abi3-12 (round 3),abi3-12,3,DS,26,26,rep2
abi3-12_DS_round_3_rep3,3,abi3-12 (round 3),abi3-12,3,DS,26,26,rep3
dog1-4_20d_round_3_rep1,4,dog1-4 (round 3),dog1-4,3,20d,20,20,rep1
dog1-4_20d_round_3_rep2,4,dog1-4 (round 3),dog1-4,3,20d,20,20,rep2
dog1-4_20d_round_3_rep3,4,dog1-4 (round 3),dog1-4,3,20d,20,20,rep3
dog1-4_22d_round_3_rep1,4,dog1-4 (round 3),dog1-4,3,22d,22,22,rep1
dog1-4_22d_round_3_rep2,4,dog1-4 (round 3),dog1-4,3,22d,22,22,rep2
dog1-4_22d_round_3_rep3,4,dog1-4 (round 3),dog1-4,3,22d,22,22,rep3
dog1-4_24d_round_3_rep1,4,dog1-4 (round 3),dog1-4,3,24d,24,24,rep1
dog1-4_24d_round_3_rep2,4,dog1-4 (round 3),dog1-4,3,24d,24,24,rep2
dog1-4_24d_round_3_rep3,4,dog1-4 (round 3),dog1-4,3,24d,24,24,rep3
dog1-4_DS_round_3_rep1,4,dog1-4 (round 3),dog1-4,3,DS,26,26,rep1
dog1-4_DS_round_3_rep2,4,dog1-4 (round 3),dog1-4,3,DS,26,26,rep2
dog1-4_DS_round_3_rep3,4,dog1-4 (round 3),dog1-4,3,DS,26,26,rep3
aba2-1_DS_round_3_rep1,5,aba2-1 (round 3),aba2-1,3,DS,26,26,rep1
aba2-1_DS_round_3_rep2,5,aba2-1 (round 3),aba2-1,3,DS,26,26,rep2
aba2-1_DS_round_3_rep3,5,aba2-1 (round 3),aba2-1,3,DS,26,26,rep3
L2-1_Col-0_+_DOG1-Cvi_DS_round_3_rep1,7,L2-1 Col-0 + DOG1-Cvi (round 3),L2-1 Col-0 + DOG1-Cvi,3,DS,26,26,rep1
L2-1_Col-0_+_DOG1-Cvi_DS_round_3_rep2,7,L2-1 Col-0 + DOG1-Cvi (round 3),L2-1 Col-0 + DOG1-Cvi,3,DS,26,26,rep2
L2-1_Col-0_+_DOG1-Cvi_DS_round_3_rep3,7,L2-1 Col-0 + DOG1-Cvi (round 3),L2-1 Col-0 + DOG1-Cvi,3,DS,26,26,rep3
abi3-12_dog1-4_18d_round_3_rep1,8,abi3-12 dog1-4 (round 3),abi3-12 dog1-4,3,18d,18,18,rep1
abi3-12_dog1-4_18d_round_3_rep2,8,abi3-12 dog1-4 (round 3),abi3-12 dog1-4,3,18d,18,18,rep2
abi3-12_dog1-4_18d_round_3_rep3,8,abi3-12 dog1-4 (round 3),abi3-12 dog1-4,3,18d,18,18,rep3
abi3-12_dog1-4_20d_round_3_rep1,8,abi3-12 dog1-4 (round 3),abi3-12 dog1-4,3,20d,20,20,rep1
abi3-12_dog1-4_20d_round_3_rep2,8,abi3-12 dog1-4 (round 3),abi3-12 dog1-4,3,20d,20,20,rep2
abi3-12_dog1-4_20d_round_3_rep3,8,abi3-12 dog1-4 (round 3),abi3-12 dog1-4,3,20d,20,20,rep3
abi3-12_dog1-4_22d_round_3_rep1,8,abi3-12 dog1-4 (round 3),abi3-12 dog1-4,3,22d,22,22,rep1
abi3-12_dog1-4_22d_round_3_rep2,8,abi3-12 dog1-4 (round 3),abi3-12 dog1-4,3,22d,22,22,rep2
abi3-12_dog1-4_22d_round_3_rep3,8,abi3-12 dog1-4 (round 3),abi3-12 dog1-4,3,22d,22,22,rep3
abi3-12_dog1-4_24d_round_3_rep1,8,abi3-12 dog1-4 (round 3),abi3-12 dog1-4,3,24d,24,24,rep1
abi3-12_dog1-4_24d_round_3_rep2,8,abi3-12 dog1-4 (round 3),abi3-12 dog1-4,3,24d,24,24,rep2
abi3-12_dog1-4_24d_round_3_rep3,8,abi3-12 dog1-4 (round 3),abi3-12 dog1-4,3,24d,24,24,rep3
abi3-12_dog1-4_DS_round_3_rep1,8,abi3-12 dog1-4 (round 3),abi3-12 dog1-4,3,DS,26,26,rep1
abi3-12_dog1-4_DS_round_3_rep2,8,abi3-12 dog1-4 (round 3),abi3-12 dog1-4,3,DS,26,26,rep2
abi3-12_dog1-4_DS_round_3_rep3,8,abi3-12 dog1-4 (round 3),abi3-12 dog1-4,3,DS,26,26,rep3
dog1-4_aba2-1_DS_round_3_rep1,9,dog1-4 aba2-1 (round 3),dog1-4 aba2-1,3,DS,26,26,rep1
dog1-4_aba2-1_DS_round_3_rep2,9,dog1-4 aba2-1 (round 3),dog1-4 aba2-1,3,DS,26,26,rep2
dog1-4_aba2-1_DS_round_3_rep3,9,dog1-4 aba2-1 (round 3),dog1-4 aba2-1,3,DS,26,26,rep3
abi3-12_aba2-1_DS_round_3_rep1,10,abi3-12 aba2-1 (round 3),abi3-12 aba2-1,3,DS,26,26,rep1
abi3-12_aba2-1_DS_round_3_rep2,10,abi3-12 aba2-1 (round 3),abi3-12 aba2-1,3,DS,26,26,rep2
abi3-12_aba2-1_DS_round_3_rep3,10,abi3-12 aba2-1 (round 3),abi3-12 aba2-1,3,DS,26,26,rep3
abi3-12_dog1-4_aba2-1_DS_round_3_rep1,11,abi3-12 dog1-4 aba2-1 (round 3),abi3-12 dog1-4 aba2-1,3,DS,26,26,rep1
abi3-12_dog1-4_aba2-1_DS_round_3_rep2,11,abi3-12 dog1-4 aba2-1 (round 3),abi3-12 dog1-4 aba2-1,3,DS,26,26,rep2
abi3-12_dog1-4_aba2-1_DS_round_3_rep3,11,abi3-12 dog1-4 aba2-1 (round 3),abi3-12 dog1-4 aba2-1,3,DS,26,26,rep3
abi3-12_dog1-4_cyp707a2_18d_round_3_rep1,12,abi3-12 dog1-4 cyp707a2 (round 3),abi3-12 dog1-4 cyp707a2,3,18d,18,18,rep1
abi3-12_dog1-4_cyp707a2_18d_round_3_rep2,12,abi3-12 dog1-4 cyp707a2 (round 3),abi3-12 dog1-4 cyp707a2,3,18d,18,18,rep2
abi3-12_dog1-4_cyp707a2_18d_round_3_rep3,12,abi3-12 dog1-4 cyp707a2 (round 3),abi3-12 dog1-4 cyp707a2,3,18d,18,18,rep3
abi3-12_dog1-4_cyp707a2_20d_round_3_rep1,12,abi3-12 dog1-4 cyp707a2 (round 3),abi3-12 dog1-4 cyp707a2,3,20d,20,20,rep1
abi3-12_dog1-4_cyp707a2_20d_round_3_rep2,12,abi3-12 dog1-4 cyp707a2 (round 3),abi3-12 dog1-4 cyp707a2,3,20d,20,20,rep2
abi3-12_dog1-4_cyp707a2_20d_round_3_rep3,12,abi3-12 dog1-4 cyp707a2 (round 3),abi3-12 dog1-4 cyp707a2,3,20d,20,20,rep3
abi3-12_dog1-4_cyp707a2_22d_round_3_rep1,12,abi3-12 dog1-4 cyp707a2 (round 3),abi3-12 dog1-4 cyp707a2,3,22d,22,22,rep1
abi3-12_dog1-4_cyp707a2_22d_round_3_rep2,12,abi3-12 dog1-4 cyp707a2 (round 3),abi3-12 dog1-4 cyp707a2,3,22d,22,22,rep2
abi3-12_dog1-4_cyp707a2_22d_round_3_rep3,12,abi3-12 dog1-4 cyp707a2 (round 3),abi3-12 dog1-4 cyp707a2,3,22d,22,22,rep3
abi3-12_dog1-4_cyp707a2_24d_round_3_rep1,12,abi3-12 dog1-4 cyp707a2 (round 3),abi3-12 dog1-4 cyp707a2,3,24d,24,24,rep1
abi3-12_dog1-4_cyp707a2_24d_round_3_rep2,12,abi3-12 dog1-4 cyp707a2 (round 3),abi3-12 dog1-4 cyp707a2,3,24d,24,24,rep2
abi3-12_dog1-4_cyp707a2_24d_round_3_rep3,12,abi3-12 dog1-4 cyp707a2 (round 3),abi3-12 dog1-4 cyp707a2,3,24d,24,24,rep3
abi3-12_dog1-4_cyp707a2_DS_round_3_rep1,12,abi3-12 dog1-4 cyp707a2 (round 3),abi3-12 dog1-4 cyp707a2,3,DS,26,26,rep1
abi3-12_dog1-4_cyp707a2_DS_round_3_rep2,12,abi3-12 dog1-4 cyp707a2 (round 3),abi3-12 dog1-4 cyp707a2,3,DS,26,26,rep2
abi3-12_dog1-4_cyp707a2_DS_round_3_rep3,12,abi3-12 dog1-4 cyp707a2 (round 3),abi3-12 dog1-4 cyp707a2,3,DS,26,26,rep3
